,bbox,Namen,Confidence Level,Bildname
0,"[[183, 93], [492, 93], [492, 148], [183, 148]]",Tedlaskvili,0.33759637366092093,Bildschirmfoto 2024-02-06 um 23
1,"[[265, 270], [414, 270], [414, 318], [265, 318]]",Werner,0.9978935831991956,Bildschirmfoto 2024-02-06 um 23
2,"[[255.0064985989292, 427.12534453582384], [343.88832883429313, 439.0614378675844], [337.99350140107083, 473.87465546417616], [249.11167116570687, 461.9385621324156]]",Greg,0.16789127886295319,Bildschirmfoto 2024-02-06 um 23
